Index,Timestamp,Event,Training_Step
,2025-06-14 13:41:22,New,0
,2025-06-14 13:45:15,Interrupted,90112
,2025-06-14 13:45:15,Final Saved,90112
,2025-06-14 13:46:44,Continue,90112
1,2025-06-14 13:56:48,Checkpoint Saved (Time),212996
,2025-06-14 14:00:58,Interrupted,299380
,2025-06-14 14:00:58,Final Saved,299380
,2025-06-14 14:03:04,Continue,299380
1,2025-06-14 14:13:04,Checkpoint Saved (Time),214496
,2025-06-14 14:17:27,Interrupted,308320
,2025-06-14 14:17:27,Final Saved,308320
,2025-06-14 14:17:45,Continue,308320
1,2025-06-14 14:27:45,Checkpoint Saved (Time),212004
2,2025-06-14 14:37:45,Checkpoint Saved (Time),423348
3,2025-06-14 14:47:45,Checkpoint Saved (Time),635604
4,2025-06-14 14:57:48,Checkpoint Saved (Time),847876
5,2025-06-14 15:07:51,Checkpoint Saved (Time),1060868
6,2025-06-14 15:17:54,Checkpoint Saved (Time),1273860
7,2025-06-14 15:27:58,Checkpoint Saved (Time),1486852
8,2025-06-14 15:37:59,Checkpoint Saved (Time),1699844
9,2025-06-14 15:48:00,Checkpoint Saved (Time),1912836
10,2025-06-14 15:58:01,Checkpoint Saved (Time),2125828
11,2025-06-14 16:08:02,Checkpoint Saved (Time),2338820
12,2025-06-14 16:18:02,Checkpoint Saved (Time),2551812
13,2025-06-14 16:28:02,Checkpoint Saved (Time),2764804
14,2025-06-14 16:38:03,Checkpoint Saved (Time),2977796
15,2025-06-14 16:48:05,Checkpoint Saved (Time),3190788
,2025-06-14 16:52:20,Interrupted,3281292
,2025-06-14 16:52:20,Final Saved,3281292
,2025-06-14 16:53:01,Continue,3281292
1,2025-06-14 17:03:04,Checkpoint Saved (Time),212996
2,2025-06-14 17:13:06,Checkpoint Saved (Time),425988
3,2025-06-14 17:23:08,Checkpoint Saved (Time),638980
4,2025-06-14 17:33:12,Checkpoint Saved (Time),851972
5,2025-06-14 17:43:15,Checkpoint Saved (Time),1064964
6,2025-06-14 17:53:20,Checkpoint Saved (Time),1277956
7,2025-06-14 18:03:20,Checkpoint Saved (Time),1494788
8,2025-06-14 18:13:21,Checkpoint Saved (Time),1708036
9,2025-06-14 18:23:25,Checkpoint Saved (Time),1925124
10,2025-06-14 18:33:30,Checkpoint Saved (Time),2142212
11,2025-06-14 18:43:30,Checkpoint Saved (Time),2358492
12,2025-06-14 18:53:30,Checkpoint Saved (Time),2567488
13,2025-06-14 19:03:32,Checkpoint Saved (Time),2772996
14,2025-06-14 19:13:32,Checkpoint Saved (Time),2980972
15,2025-06-14 19:23:35,Checkpoint Saved (Time),3186692
16,2025-06-14 19:33:35,Checkpoint Saved (Time),3394284
17,2025-06-14 19:43:38,Checkpoint Saved (Time),3600388
18,2025-06-14 19:53:38,Checkpoint Saved (Time),3807540
19,2025-06-14 20:03:38,Checkpoint Saved (Time),4013868
20,2025-06-14 20:13:41,Checkpoint Saved (Time),4218884
21,2025-06-14 20:23:41,Checkpoint Saved (Time),4424928
22,2025-06-14 20:33:41,Checkpoint Saved (Time),4630060
23,2025-06-14 20:43:41,Checkpoint Saved (Time),4834436
24,2025-06-14 20:53:41,Checkpoint Saved (Time),5038804
25,2025-06-14 21:03:41,Checkpoint Saved (Time),5242052
,2025-06-14 21:06:54,Interrupted,5306436
,2025-06-14 21:06:54,Final Saved,5306436
,2025-06-14 21:07:55,New,0
1,2025-06-14 21:17:56,Checkpoint Saved (Time),227764
2,2025-06-14 21:27:57,Checkpoint Saved (Time),454660
3,2025-06-14 21:37:57,Checkpoint Saved (Time),683068
4,2025-06-14 21:47:58,Checkpoint Saved (Time),909316
5,2025-06-14 21:57:58,Checkpoint Saved (Time),1137804
6,2025-06-14 22:07:58,Checkpoint Saved (Time),1364448
7,2025-06-14 22:18:00,Checkpoint Saved (Time),1593348
8,2025-06-14 22:28:00,Checkpoint Saved (Time),1821584
9,2025-06-14 22:38:00,Checkpoint Saved (Time),2048908
10,2025-06-14 22:48:00,Checkpoint Saved (Time),2277376
11,2025-06-14 22:58:00,Checkpoint Saved (Time),2503284
12,2025-06-14 23:08:05,Checkpoint Saved (Time),2723844
,2025-06-14 23:10:26,Interrupted,2775920
,2025-06-14 23:10:26,Final Saved,2775920
